[ 2025-12-18 22:53:43 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.9583994746208191, 'test_acc\n': 0.7956448793411255, 'test_precision\n': 0.37657129764556885, 'test_recall\n': 0.305400550365448, 'test_f1\n': 0.3312149941921234}
[ 2025-12-18 22:53:43 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:43 | node_11 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7451199889183044, 'test_acc\n': 0.8440860509872437, 'test_precision\n': 0.38215339183807373, 'test_recall\n': 0.34926921129226685, 'test_f1\n': 0.3559061586856842}
[ 2025-12-18 22:53:43 | node_11 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:43 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:43 | node_11 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:43 | node_8 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:43 | node_8 | INFO ] 🧩 Model added (1/5) from ['node_8']
[ 2025-12-18 22:53:44 | node_13 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.3058468699455261, 'test_acc\n': 0.923518180847168, 'test_precision\n': 0.4191078543663025, 'test_recall\n': 0.403092622756958, 'test_f1\n': 0.40899142622947693}
[ 2025-12-18 22:53:44 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_13 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:44 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.069251537322998, 'test_acc\n': 0.746666669845581, 'test_precision\n': 0.32264718413352966, 'test_recall\n': 0.2932261526584625, 'test_f1\n': 0.2967394292354584}
[ 2025-12-18 22:53:44 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:44 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6882815957069397, 'test_acc\n': 0.8233034610748291, 'test_precision\n': 0.391184002161026, 'test_recall\n': 0.33957400918006897, 'test_f1\n': 0.36229124665260315}
[ 2025-12-18 22:53:44 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_14 | INFO ] 🏋️‍♀️ Training...
