[ 2025-12-19 00:08:28 | node_11 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.2547478675842285, 'test_acc\n': 0.6465256810188293, 'test_precision\n': 0.34358710050582886, 'test_recall\n': 0.2968130111694336, 'test_f1\n': 0.29905620217323303}
[ 2025-12-19 00:08:28 | node_11 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:29 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 21.824453353881836, 'test_acc\n': 0.16702820360660553, 'test_precision\n': 0.21713557839393616, 'test_recall\n': 0.12610755860805511, 'test_f1\n': 0.08046441525220871}
[ 2025-12-19 00:08:29 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:29 | node_11 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:29 | node_12 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.94219708442688, 'test_acc\n': 0.7465346455574036, 'test_precision\n': 0.567965030670166, 'test_recall\n': 0.4751875698566437, 'test_f1\n': 0.49602559208869934}
[ 2025-12-19 00:08:29 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:29 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:29 | node_12 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:29 | node_14 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:29 | node_14 | INFO ] 🧩 Model added (1/5) from ['node_14']
[ 2025-12-19 00:08:29 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:29 | node_1 | INFO ] 🧩 Model added (1/5) from ['node_1']
[ 2025-12-19 00:08:30 | node_13 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:30 | node_13 | INFO ] 🧩 Model added (1/5) from ['node_13']
