[ 2026-03-29 19:39:54 | node_49 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_8', 'node_19', 'node_21', 'node_27', 'node_29', 'node_32', 'node_33', 'node_35']
[ 2026-03-29 19:39:54 | node_15 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_16']
[ 2026-03-29 19:39:54 | node_31 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_27 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:54 | node_42 | INFO ] ✅ [FORCE] Local model added for round 141. (4/9)
[ 2026-03-29 19:39:54 | node_15 | INFO ] 🧩 Model added for round 141 (6/9) from ['node_37']
[ 2026-03-29 19:39:55 | node_31 | INFO ] ✅ [FORCE] Local model added for round 141. (8/8)
[ 2026-03-29 19:39:55 | node_27 | INFO ] ✅ [FORCE] Local model added for round 141. (1/5)
[ 2026-03-29 19:39:55 | node_21 | INFO ] 🧩 Model added for round 141 (6/11) from ['node_2']
[ 2026-03-29 19:39:55 | node_8 | INFO ] 🧩 Model added for round 141 (7/12) from ['node_49']
[ 2026-03-29 19:39:55 | node_39 | INFO ] 🧩 Model added for round 141 (4/10) from ['node_33']
[ 2026-03-29 19:39:55 | node_45 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:55 | node_38 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:55 | node_43 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:55 | node_45 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:55 | node_40 | INFO ] 🧩 Model added for round 141 (6/11) from ['node_44']
[ 2026-03-29 19:39:55 | node_38 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:55 | node_43 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:55 | node_35 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:55 | node_45 | INFO ] ♻️ Proactively processing 4 early models for round 141.
[ 2026-03-29 19:39:55 | node_38 | INFO ] ♻️ Proactively processing 6 early models for round 141.
[ 2026-03-29 19:39:55 | node_45 | INFO ] 🧩 Model added for round 141 (1/12) from ['node_5']
[ 2026-03-29 19:39:55 | node_35 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:55 | node_38 | INFO ] 🧩 Model added for round 141 (1/11) from ['node_29']
[ 2026-03-29 19:39:55 | node_40 | INFO ] 🧩 Model added for round 141 (7/11) from ['node_4']
[ 2026-03-29 19:39:55 | node_43 | INFO ] ♻️ Proactively processing 1 early models for round 141.
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🧩 Model added for round 141 (2/11) from ['node_1']
[ 2026-03-29 19:39:56 | node_43 | INFO ] 🧩 Model added for round 141 (1/8) from ['node_14']
[ 2026-03-29 19:39:56 | node_45 | INFO ] 🧩 Model added for round 141 (2/12) from ['node_6']
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🧩 Model added for round 141 (3/11) from ['node_18']
[ 2026-03-29 19:39:56 | node_43 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:56 | node_45 | INFO ] 🧩 Model added for round 141 (3/12) from ['node_29']
[ 2026-03-29 19:39:56 | node_35 | INFO ] ♻️ Proactively processing 3 early models for round 141.
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🧩 Model added for round 141 (4/11) from ['node_21']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:56 | node_25 | INFO ] 🧩 Model added for round 141 (5/8) from ['node_9']
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🧩 Model added for round 141 (1/11) from ['node_10']
[ 2026-03-29 19:39:56 | node_45 | INFO ] 🧩 Model added for round 141 (4/12) from ['node_18']
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🧩 Model added for round 141 (5/11) from ['node_17']
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🧩 Model added for round 141 (2/11) from ['node_24']
[ 2026-03-29 19:39:56 | node_45 | INFO ] 🧩 Model added for round 141 (5/12) from ['node']
[ 2026-03-29 19:39:56 | node_45 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🧩 Model added for round 141 (6/11) from ['node_12']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🧩 Model added for round 141 (3/11) from ['node_20']
[ 2026-03-29 19:39:56 | node_38 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:56 | node_20 | INFO ] 🧩 Model added for round 141 (4/10) from ['node_34']
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🧩 Model added for round 141 (4/11) from ['node_30']
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:56 | node_19 | INFO ] 🧩 Model added for round 141 (7/9) from ['node_16']
[ 2026-03-29 19:39:56 | node_47 | INFO ] ♻️ Proactively processing 4 early models for round 141.
[ 2026-03-29 19:39:56 | node_35 | INFO ] 🧩 Model added for round 141 (5/11) from ['node_25']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🧩 Model added for round 141 (1/12) from ['node_6']
[ 2026-03-29 19:39:56 | node_20 | INFO ] 🧩 Model added for round 141 (5/10) from ['node_37']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🧩 Model added for round 141 (2/12) from ['node_3']
[ 2026-03-29 19:39:56 | node_7 | INFO ] 📤 Sending model to 13 direct neighbors: ['node', 'node_4', 'node_9', 'node_14', 'node_16', 'node_19', 'node_20', 'node_22', 'node_30', 'node_32', 'node_37', 'node_45', 'node_47']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🧩 Model added for round 141 (3/12) from ['node_18']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🧩 Model added for round 141 (4/12) from ['node_21']
[ 2026-03-29 19:39:56 | node_47 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:57 | node_49 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_33']
[ 2026-03-29 19:39:57 | node_46 | INFO ] 🧩 Model added for round 141 (4/7) from ['node_2']
[ 2026-03-29 19:39:57 | node | INFO ] 🧩 Model added for round 141 (5/8) from ['node_7']
[ 2026-03-29 19:39:57 | node_19 | INFO ] 🧩 Model added for round 141 (8/9) from ['node_49']
[ 2026-03-29 19:39:57 | node_36 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_5', 'node_9', 'node_12', 'node_20', 'node_24', 'node_39', 'node_48']
[ 2026-03-29 19:39:57 | node_46 | INFO ] 🧩 Model added for round 141 (5/7) from ['node_44']
[ 2026-03-29 19:39:57 | node_36 | INFO ] 🧩 Model added for round 141 (6/8) from ['node_9']
[ 2026-03-29 19:39:57 | node_45 | INFO ] 🧩 Model added for round 141 (6/12) from ['node_4']
[ 2026-03-29 19:39:57 | node_5 | INFO ] 🧩 Model added for round 141 (3/5) from ['node_36']
[ 2026-03-29 19:39:58 | node_32 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:58 | node_32 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:58 | node_28 | INFO ] 🧩 Model added for round 141 (5/7) from ['node_16']
[ 2026-03-29 19:39:58 | node_21 | INFO ] 🧩 Model added for round 141 (7/11) from ['node_37']
[ 2026-03-29 19:39:58 | node_47 | INFO ] 🧩 Model added for round 141 (5/12) from ['node_2']
[ 2026-03-29 19:39:58 | node_32 | INFO ] ♻️ Proactively processing 5 early models for round 141.
[ 2026-03-29 19:39:58 | node_37 | INFO ] 🧩 Model added for round 141 (7/11) from ['node_30']
[ 2026-03-29 19:39:58 | node_42 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_25']
[ 2026-03-29 19:39:58 | node_32 | INFO ] 🧩 Model added for round 141 (1/9) from ['node_11']
[ 2026-03-29 19:39:58 | node_43 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:58 | node_32 | INFO ] 🧩 Model added for round 141 (2/9) from ['node_13']
[ 2026-03-29 19:39:58 | node_43 | INFO ] 🛠️ Calling force_add_local_model...
