[ 2026-05-13 19:22:48 | node_32 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:49 | node_32 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:49 | node_32 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:49 | node_32 | INFO ] ✅ [FORCE] Local model added for round 46. (3/5)
[ 2026-05-13 19:22:50 | node_29 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_7', 'node_8', 'node_10', 'node_19', 'node_21', 'node_35', 'node_38', 'node_40', 'node_42', 'node_43', 'node_44']
[ 2026-05-13 19:22:51 | node_7 | INFO ] 🧩 Model added for round 46 (7/9) from ['node_29']
[ 2026-05-13 19:22:51 | node_36 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:51 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:52 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.05211835354566574, 'test_acc': 0.9800000190734863, 'test_precision': 0.9821760058403015, 'test_recall': 0.9818746447563171, 'test_f1': 0.9816142320632935, 'communication_cost': 33870564}
[ 2026-05-13 19:22:52 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:52 | node_25 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_11', 'node_17', 'node_18', 'node_21', 'node_28', 'node_33', 'node_36', 'node_47']
[ 2026-05-13 19:22:52 | node_8 | INFO ] 🧩 Model added for round 46 (3/5) from ['node_29']
[ 2026-05-13 19:22:52 | node_11 | INFO ] 🧩 Model added for round 46 (8/13) from ['node_25']
[ 2026-05-13 19:22:53 | node_10 | INFO ] 🧩 Model added for round 46 (8/10) from ['node_29']
[ 2026-05-13 19:22:54 | node_13 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:54 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:54 | node_17 | INFO ] 🧩 Model added for round 46 (8/9) from ['node_25']
[ 2026-05-13 19:22:54 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.14335495233535767, 'test_acc': 0.9649999737739563, 'test_precision': 0.9652819633483887, 'test_recall': 0.9693216681480408, 'test_f1': 0.9665213823318481, 'communication_cost': 41397356}
[ 2026-05-13 19:22:54 | node_19 | INFO ] 🧩 Model added for round 46 (5/9) from ['node_29']
[ 2026-05-13 19:22:54 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:54 | node_32 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_16', 'node_44', 'node_49']
[ 2026-05-13 19:22:55 | node_15 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:55 | node_16 | INFO ] 🧩 Model added for round 46 (10/13) from ['node_32']
[ 2026-05-13 19:22:55 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:56 | node_15 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8272963166236877, 'test_acc': 0.925000011920929, 'test_precision': 0.9267273545265198, 'test_recall': 0.9250360727310181, 'test_f1': 0.9241482019424438, 'communication_cost': 33870564}
[ 2026-05-13 19:22:56 | node_15 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:56 | node_21 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_29']
[ 2026-05-13 19:22:56 | node_21 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_25']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:57 | node_36 | INFO ] ♻️ Proactively processing 5 early models for round 46.
