[ 2026-05-13 06:02:41 | node_1 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_22']
[ 2026-05-13 06:02:41 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:41 | node_29 | INFO ] 🧩 Model added for round 47 (2/9) from ['node_7']
[ 2026-05-13 06:02:41 | node_42 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13850907981395721, 'test_acc': 0.9700000286102295, 'test_precision': 0.9727544188499451, 'test_recall': 0.9719967842102051, 'test_f1': 0.9708672165870667, 'communication_cost': 22580376}
[ 2026-05-13 06:02:42 | node_42 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:42 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:42 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:42 | node_33 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:42 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:42 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.25432413816452026, 'test_acc': 0.9750000238418579, 'test_precision': 0.9755314588546753, 'test_recall': 0.9717105627059937, 'test_f1': 0.9730028510093689, 'communication_cost': 22580376}
[ 2026-05-13 06:02:43 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:43 | node_8 | INFO ] 🧩 Model added for round 46 (11/12) from ['node_22']
[ 2026-05-13 06:02:43 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:43 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:43 | node_2 | INFO ] 🧩 Model added for round 46 (13/13) from ['node_9']
[ 2026-05-13 06:02:44 | node_42 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:44 | node_42 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:44 | node_42 | INFO ] 🏋️‍♀️ Preparing training...
